World Port Index Number;Main Port Name;Country Code;Digital Nautical Chart;Latitude;Longitude
17190.0;Hoodsport;United States;a2617700, gen26a, h2617230;47.416666999999997;-123.133332999999993
17260.0;Keyport;United States;a2617160, gen26a, h2617750;47.700000000000003;-122.616667000000007
17350.0;Fort Ward;United States;a2617160, gen26a, h2617730;47.583333000000003;-122.516666999999998
17670.0;Nisqually Head;United States;a2617700, gen26a;47.116667000000000;-122.750000000000000
27560.0;Kokkola;Finland;a2227560, coa22l, gen22d;63.850000000000001;23.016667000000002
27610.0;Hellnas;Finland;coa22l, gen22d;63.283332999999999;22.233332999999998
27670.0;Kaskinen;Finland;coa22u, gen22d;62.383333000000000;21.233332999999998
28170.0;Ekenas;Finland;coa22v, gen22d;59.983333000000002;23.433333000000001
28180.0;Jussaro;Finland;coa22v, gen22d;59.833333000000003;23.566666999999999
28187.0;Inkoo;Finland;coa22v, gen22d;60.016666999999998;23.916667000000000
28310.0;Gavan Vysotsk;Russia;coa22v, gen22d, h2228300;60.616667000000000;28.566666999999999
33190.0;Corpach;United Kingdom;coa20i, gen20b, h2033190;56.850000000000001;-5.116667000000000
28654.0;Butinge Oil Terminal;Lithuania;a2228640, coa22n, gen22e;56.033332999999999;20.949999999999999
28680.0;Baltiysk;Russia;a2228680, coa22j, gen22e, h2228680;54.633333000000000;19.899999999999999
28920.0;Heiligenhafen;Germany;a2129710, coa21d, gen21a;54.366667000000000;10.983333000000000
28950.0;Eckernforde;Germany;a2128930, coa21d, gen21a, h2128950;54.483333000000002;9.833333000000000
17840.0;Coupeville;United States;a2617160, gen26b;48.233333000000002;-122.683333000000005
18518.0;Nanoose Harbor;Canada;a2618150, gen26b, h2618518;49.266666999999998;-124.150000000000006
18790.0;Ahousat;Canada;a2618780, coa26b, gen26b;49.283332999999999;-126.066666999999995
18525.0;Harmac;Canada;a2618520, gen26b, h2618520;49.133333000000000;-123.849999999999994
18600.0;Ganges;Canada;a2618520, gen26b, h2618600;48.850000000000001;-123.483333000000002
18818.0;Bergh Cove;Canada;coa26b, gen26b;50.533332999999999;-127.616667000000007
18915.0;Bella Bella;Canada;a2618890, coa26b, gen26b;52.166666999999997;-128.150000000000006
19290.0;Fishermans Harbor;United States;a2619290, coa26d, gen26c;55.966667000000001;-133.800000000000011
19510.0;Hood Bay;United States;coa26d, gen26c;57.399999999999999;-134.500000000000000
19788.0;Ninilchik;United States;a2519788, coa25d, gen25b;60.049999999999997;-151.683333000000005
23760.0;Holmestrand;Norway;a2123810, gen21a;59.490555555999997;10.326666667000000
5970.0;Grand Narrows;Canada;a1805860, coa18b, gen18b;45.950000000000003;-60.783332999999999
6170.0;Goldsboro;Canada;a1806200, coa18b, gen18b, h1806190;45.183332999999998;-61.649999999999999
6660.0;Milbridge;United States;a1806700, coa18b, gen18a;44.533332999999999;-67.883332999999993
33160.0;Lochaline;United Kingdom;a2032790, coa20i, gen20b, h2033250;56.549999999999997;-5.766667000000000
33170.0;Craignure;United Kingdom;a2032790, coa20i, gen20b, h2033250;56.466667000000001;-5.700000000000000
33210.0;Glensanda;United Kingdom;a2032790, coa20i, gen20b, h2033250;56.566667000000002;-5.533333000000000
33250.0;Oban;United Kingdom;a2032790, coa20i, gen20b, h2033250;56.416666999999997;-5.466667000000000
33290.0;Crinan (Canal);United Kingdom;a2032790, coa20i, gen20b;56.083333000000003;-5.566667000000000
33577.0;Bangor;United Kingdom;a2033770, coa20i, gen20b, h2033770;54.649999999999999;-5.666667000000000
34190.0;Castletown Bearhaven;Ireland;a1934260, coa19f, gen19a, h1934240;51.649999999999999;-9.916667000000000
34200.0;Kilrush;Ireland;coa19f, gen19a, h1934130;52.633333000000000;-9.500000000000000
34640.0;Heysham;United Kingdom;gen20b;54.033332999999999;-2.916667000000000
34650.0;Liverpool Bay Terminal;United Kingdom;a2034690, coa20j, gen20b;53.533332999999999;-3.550000000000000
34850.0;Fishguard;United Kingdom;a2034850, coa20j, gen20b, h2034850;52.016666999999998;-4.983333000000000
34970.0;Neath;United Kingdom;coa20j, gen20b;51.633333000000000;-3.833333000000000
35240.0;Newlyn;United Kingdom;a2035290, coa20a, gen20b;50.100000000000001;-5.550000000000000
35590.0;Fawley Marine Terminal;United Kingdom;a2035600, coa20c, gen20b, h2035580;50.816667000000002;-1.333333000000000
35800.0;Le Treport;France;a2035810, coa20c, gen20b;50.066667000000002;1.366667000000000
37160.0;Blaye;France;a0837190, gen08b, h0837190;45.133333000000000;-0.666667000000000
7240.0;Lynn;United States;a1807250, coa18a, gen18a, h1807250;42.450000000000003;-70.950000000000003
7315.0;Hyannis Port;United States;a1707330, coa17c, gen17a;41.633333000000000;-70.299999999999997
23817.0;Fagerstrand;Norway;a2123810, gen21a, h2123810;59.733055555999996;10.584722222000000
23829.0;Kambo;Norway;a2123810, gen21a, h2123830;59.473055555999998;10.679722222000001
23890.0;Grebbestad;Sweden;a2123910, coa21e, gen21a;58.676944444000000;11.247777778000000
23900.0;Fjallbacka;Sweden;a2123910, coa21e, gen21a;58.600277777999999;11.277222222000001
23910.0;Hunnebostrand;Sweden;a2123910, coa21e, gen21a;58.437777777999997;11.286111111000000
24050.0;Halmstad;Sweden;a2230423, coa22q, gen22e;56.666666999999997;12.866667000000000
24530.0;Bergkvara;Sweden;a2224570, coa22p, gen22e;56.383333000000000;16.100000000000001
24720.0;Figeholm;Sweden;coa22p, gen22e;57.366667000000000;16.500000000000000
24900.0;Farosund;Sweden;coa22k, gen22e;57.916666999999997;19.050000000000001
24960.0;Klintehamn;Sweden;coa22p, gen22e;57.383333000000000;18.199999999999999
25440.0;Grisslehamn;Sweden;a2225460, coa22k, gen22d;60.100000000000001;18.816666999999999
25610.0;Norrsundet;Sweden;a2225620, coa22u, gen22d, h2225610;60.933332999999998;17.166667000000000
26240.0;Harnosand;Sweden;a2226240, coa22u, gen22d, h2226240;62.633333000000000;17.933333000000001
26310.0;Gustavsvik;Sweden;a2226240, coa22u, gen22d;62.833333000000003;17.883333000000000
26340.0;Lunde;Sweden;a2226240, coa22u, gen22d;62.883333000000000;17.883333000000000
26380.0;Kramfors;Sweden;a2226240, coa22u, gen22d;62.933332999999998;17.800000000000001
26720.0;Domsjo;Sweden;a2226730, coa22u, gen22d, h2226730;63.266666999999998;18.733332999999998
26790.0;Husum;Sweden;coa22u, gen22d;63.333333000000003;19.149999999999999
29455.0;Nykobing (Mor);Denmark;coa21c, gen21a;56.766666999999998;11.866667000000000
27130.0;Brannfors;Sweden;coa22l, gen22d;65.016666999999998;21.383333000000000
27540.0;Himanka;Finland;coa22l, gen22d;64.000000000000000;23.649999999999999
29130.0;Christianso Harbor;Denmark;a2229110, coa22p, gen22e;55.316667000000002;15.183332999999999
29410.0;Frederiksvaerk;Denmark;a2229230, coa22q, gen22e;55.966667000000001;12.016667000000000
29420.0;Frederikssund;Denmark;gen22e;55.833333000000003;12.050000000000001
29440.0;Holbaek;Denmark;coa21d, gen21a;55.716667000000001;11.716666999999999
29546.0;Gulfhaven;Denmark;a2129860, coa21d, gen21a;55.200000000000003;11.266667000000000
54671.0;Milner Bay;Australia;coa05e, gen05a;-13.866667000000000;136.416666999999990
54943.0;Beauty Point;Australia;a0554970, coa05b, gen05b, h0554940;-41.149999999999999;146.816666999999995
55530.0;Lautoka Harbor;Fiji;a0655530, coa06a, gen06a, h0655530;-17.600000000000001;177.449999999999989
55590.0;Nuku Alofa;Tonga;a0655590, gen06c, h0655590;-21.133333000000000;-175.199999999999989
55610.0;Neiafu;Tonga;gen06c, h0655610;-18.649999999999999;-173.983332999999988
55617.0;Funafuti Atoll;Tuvalu;a0655617, coa06b, gen06a;-8.516667000000000;179.133332999999993
56010.0;Atuona;French Polynesia;gen06e;-9.816667000000001;-139.033332999999999
56015.0;Baie Taiohae;French Polynesia;gen06e;-8.933332999999999;-140.083333000000010
56140.0;Kailua;United States;a1356160, coa13c, gen13c, h1356140;19.633333000000000;-156.000000000000000
56160.0;Kawaihae;United States;a1356160, coa13c, gen13c, h1356160;20.033332999999999;-155.833333000000010
56190.0;Hana;United States;coa13c, gen13c;20.750000000000000;-155.983332999999988
56230.0;Kaumalapau Harbor;United States;a1356200, coa13c, gen13c;20.783332999999999;-157.000000000000000
58630.0;Laoang;Philippines;a1158635, coa11f, gen11a;12.566667000000001;125.016666999999998
58655.0;Guiuan;Philippines;a1158670, coa11g, gen11a;11.033333000000001;125.716667000000001
58670.0;Catbalogan;Philippines;a1158670, coa11g, gen11a, h1158670;11.766667000000000;124.883332999999993
59800.0;Jolo;Philippines;a1159800, coa11i, gen11a, h1159800;6.050000000000000;121.000000000000000
59974.0;Changshu;China;a2359970, gen23a;31.766667000000002;120.950000000000003
59991.0;Nantong;China;gen23a;32.000000000000000;120.799999999999997
60470.0;Ch'aho;North Korea;coa23g, gen23a, h2360470;40.200000000000003;128.650000000000006
60860.0;Okha;Russia;coa24c, gen24a;53.549999999999997;143.000000000000000
